# Name_of_leauge Season Nationality AvgExpend +INFLACION
PremierLeague 2011 England 778421.05 858902.9
SerieA 2011 Italy 597284.62 659038.57
LaLiga 2011 Spain 872861.11 963107.23
Ligue1 2011 France 601172.64 663328.57
Bundesliga 2011 Germany 693709.09 765432.47
PremierLiga 2011 Russia 194897.96 215048.68
S�perLig 2011 Turkey 228716.71 252363.99
LigaNOS 2011 Portugal 259332.06 286144.7
BrasileiroS�rieA 2011 Brazil 125388.24 138352.27
Championship 2011 England 184313.47 203369.85
Eredivisie 2011 Netherlands 412400.0 455038.51
PremierLiga 2011 Ukraine 118184.82 130404.08
ChineseSuperLeague 2011 China 55668.45 61424.07
SerieB 2011 Italy 93981.48 103698.34
JupilerProLeague 2011 Belgium 322596.15 355949.74
SaudiProfessionalLeague 2011 SaudiArabia 70726.26 78038.73
QatarStarsLeague 2011 Qatar 26041.67 28734.14
Ligue2 2011 France 206647.4 228012.91
SuperLeague 2011 Greece 55105.26 60802.66
Liga1Betano 2011 Romania 40100.0 44245.99
ArgentinaTorneoFinal 2011 Argentina 113715.71 125472.91
2.Bundesliga 2011 Germany 89704.8 98979.48
SuperLeague 2011 Switzerland 197393.62 217802.37
ScottishPremiership 2011 Scotland 62676.06 69156.21
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
PremierLeague 2011 England 778421.05 858902.9
SerieA 2011 Italy 597284.62 659038.57
LaLiga 2011 Spain 872861.11 963107.23
Ligue1 2011 France 601172.64 663328.57
Bundesliga 2011 Germany 693709.09 765432.47
PremierLiga 2011 Russia 194897.96 215048.68
S�perLig 2011 Turkey 228716.71 252363.99
LigaNOS 2011 Portugal 259332.06 286144.7
BrasileiroS�rieA 2011 Brazil 125388.24 138352.27
Championship 2011 England 184313.47 203369.85
Eredivisie 2011 Netherlands 412400.0 455038.51
PremierLiga 2011 Ukraine 118184.82 130404.08
ChineseSuperLeague 2011 China 55668.45 61424.07
SerieB 2011 Italy 93981.48 103698.34
JupilerProLeague 2011 Belgium 322596.15 355949.74
SaudiProfessionalLeague 2011 SaudiArabia 70726.26 78038.73
QatarStarsLeague 2011 Qatar 26041.67 28734.14
Ligue2 2011 France 206647.4 228012.91
SuperLeague 2011 Greece 55105.26 60802.66
Liga1Betano 2011 Romania 40100.0 44245.99
ArgentinaTorneoFinal 2011 Argentina 113715.71 125472.91
2.Bundesliga 2011 Germany 89704.8 98979.48
SuperLeague 2011 Switzerland 197393.62 217802.37
ScottishPremiership 2011 Scotland 62676.06 69156.21
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
KLeague1 2011 SouthKorea 26776.86 29545.35
1.HNL 2011 Croatia 22033.1 24311.12
#      => End of file <=
